"fipscounty","AAR_county","AAR_norm","decile","bottom_decile","upper_decile","negative_shock","positive_shock","unaffected","aar_category","quartile","bottom_quartile","upper_quartile"
37043,-0.108925113702796,-0.368042813772536,4,"0","0",0,0,"0","3",2,"0","0"
37045,-0.121197981494944,-0.470662879381145,3,"0","0",0,0,"0","3",2,"0","0"
37047,-0.162161885895748,-0.813184173376088,2,"0","0",1,0,"0","0",1,"1","0"
37049,-0.0833958955366842,-0.154579254357428,5,"0","0",0,0,"1","1",2,"0","0"
37051,-0.122505134097549,-0.48159268715807,3,"0","0",0,0,"0","3",2,"0","0"
37053,-0.0350044046649696,0.25004809535875,7,"0","0",0,0,"1","1",3,"0","0"
37055,-0.131901924727968,-0.560164320726958,3,"0","0",0,0,"0","3",1,"1","0"
37057,-0.078407004507981,-0.112864446266097,5,"0","0",0,0,"1","1",2,"0","0"
37059,-0.109728207159964,-0.374757911226544,4,"0","0",0,0,"0","3",2,"0","0"
37061,-0.0106487821239513,0.453698588904923,8,"0","0",0,0,"1","1",4,"0","1"
37063,0.0276960354468002,0.774320285602275,9,"0","0",0,0,"1","1",4,"0","1"
37065,-0.206728985150503,-1.18583372252503,1,"1","0",1,0,"0","0",1,"1","0"
37067,-0.00805815746336744,0.475360198655702,8,"0","0",0,0,"1","1",4,"0","1"
37069,-0.131330910754257,-0.555389764980238,3,"0","0",0,0,"0","3",2,"0","0"
37071,-0.171019863706493,-0.887250502411254,2,"0","0",1,0,"0","0",1,"1","0"
37073,-0.168348755060499,-0.864915922658427,2,"0","0",1,0,"0","0",1,"1","0"
37075,-0.104476393005462,-0.330844661102234,4,"0","0",0,0,"0","3",2,"0","0"
37077,-0.0942217914885198,-0.245100408146776,5,"0","0",0,0,"1","1",2,"0","0"
37079,-0.0684324905812105,-0.0294621566859812,6,"0","0",0,0,"1","1",3,"0","0"
37081,-0.0733140172016427,-0.0702792330647744,6,"0","0",0,0,"1","1",3,"0","0"
37083,-0.1530449605266,-0.736952644170722,2,"0","0",1,0,"0","0",1,"1","0"
37085,-0.0980635734491239,-0.277223618754766,4,"0","0",0,0,"1","1",2,"0","0"
37087,-0.187715529828709,-1.02685196979913,2,"0","0",1,0,"0","0",1,"1","0"
37089,-0.154833806884265,-0.751910153181347,2,"0","0",1,0,"0","0",1,"1","0"
37091,-0.118919906728853,-0.451614667837053,3,"0","0",0,0,"0","3",2,"0","0"
37093,0.10908013445825,1.45481662284759,10,"0","1",0,0,"0","3",4,"0","1"
37095,-0.0616811734739205,0.0269892462157836,6,"0","0",0,0,"1","1",3,"0","0"
37097,-0.130992107464524,-0.552556847979126,3,"0","0",0,0,"0","3",2,"0","0"
