"fipscounty","year","AAR_county","aar_category","quartile","post","avg_unemp_rate","total_pop","time_to_treat","treat","statefips","adj1","adj2","mfa_exposure","chn_subsidies","chn_tariffs","manuf_share","ntr_ratees","medianhhinc1990","pctnocollege1990","pctveteran1990","pctforeignborn1990","pctmanufacturing1990","laborforce","nicivpop","lfpr"
16063,2011,0.217677951622695,2,4,1,11.8307692307692,5132,11,0,"16",2001,2001,0,0.0302559790725354,-13.6751903453842,38.2903378770632,6.09311833977699,28233,56.4000015258789,18.3999996185303,1.20000004768372,7.90000009536743,2680,3585.4,74.7475874379428
16063,2012,0.217677951622695,2,4,1,9.5,5262,12,0,"16",2001,2001,0,0.0302559790725354,-13.6751903453842,38.2903378770632,6.09311833977699,28233,56.4000015258789,18.3999996185303,1.20000004768372,7.90000009536743,2699,3667.4,73.594372034684
16067,1990,0.214892321438762,2,4,0,7.04615384615385,19383,-10,0,"16",1990,0,0,-0.0041412171000843,-7.74275477233459,44.4207030567981,3.72146502722899,30434,65.0999984741211,14.1000003814697,5.90000009536743,12.5,8891,12982.8,68.4829158579043
16067,1991,0.214892321438762,2,4,0,6.7,19692,-9,0,"16",1991,0,0,-0.0041412171000843,-7.74275477233459,44.4207030567981,3.76516946762422,30434,65.0999984741211,14.1000003814697,5.90000009536743,12.5,9252,13328.6,69.4146421979803
16067,1992,0.214892321438762,2,4,0,8.7,20064,-8,0,"16",1992,0,0,-0.0041412171000843,-7.74275477233459,44.4207030567981,3.72028024721658,30434,65.0999984741211,14.1000003814697,5.90000009536743,12.5,9696,13635.2,71.110068059141
16067,1993,0.214892321438762,2,4,0,8.88461538461539,20286,-7,0,"16",1993,0,0,-0.0041412171000843,-7.74275477233459,44.4207030567981,3.87670309387431,30434,65.0999984741211,14.1000003814697,5.90000009536743,12.5,9281,13830.4,67.1057959278112
16067,1994,0.214892321438762,2,4,0,8.69230769230769,20534,-6,0,"16",1994,0,0,-0.0041412171000843,-7.74275477233459,44.4207030567981,3.97913712363334,30434,65.0999984741211,14.1000003814697,5.90000009536743,12.5,10229,14026,72.9288464280622
16067,1995,0.214892321438762,2,4,0,7.84615384615385,20759,-5,0,"16",1995,0,0,-0.0041412171000843,-7.74275477233459,44.4207030567981,3.89460840851825,30434,65.0999984741211,14.1000003814697,5.90000009536743,12.5,10215,14269.6,71.5857487245613
16067,1996,0.214892321438762,2,4,0,7.32307692307692,20559,-4,0,"16",1996,0,0,-0.0041412171000843,-7.74275477233459,44.4207030567981,3.59117153034276,30434,65.0999984741211,14.1000003814697,5.90000009536743,12.5,10286,14204.6,72.4131619334582
16067,1997,0.214892321438762,2,4,0,8.10769230769231,20495,-3,0,"16",1997,0,0,-0.0041412171000843,-7.74275477233459,44.4207030567981,3.5124246835494,30434,65.0999984741211,14.1000003814697,5.90000009536743,12.5,9939,14227.8,69.8561970227301
