"fipscounty","control_ind","unshock_ind","aar_pntr","aar_tw","AAR_county1","AAR_county2","AAR_county3","AAR_county4","AAR_county5","AAR_county6","AAR_county7","year","quarter","avg_unemp_rate","post","treat","total_pop","laborforce","nicivpop","lfpr","time_period"
53003,1,0,-0.105639220817697,0.0192671201553779,0.113765825128533,0.00220025450762779,-0.0145688302028481,0.102744546940501,0.0117762015540056,0.050027100032149,-0.131075256872323,2017,2017 Q3,3.76666666666667,0,0,22509,10247,18189,56.336247182363,7
53003,1,0,-0.105639220817697,0.0192671201553779,0.113765825128533,0.00220025450762779,-0.0145688302028481,0.102744546940501,0.0117762015540056,0.050027100032149,-0.131075256872323,2017,2017 Q4,3.93333333333333,0,0,22509,10247,18189,56.336247182363,8
53003,1,0,-0.105639220817697,0.0192671201553779,0.113765825128533,0.00220025450762779,-0.0145688302028481,0.102744546940501,0.0117762015540056,0.050027100032149,-0.131075256872323,2018,2018 Q1,4.83333333333333,0,0,22616,10196,18324.6,55.6410508278489,9
53003,1,0,-0.105639220817697,0.0192671201553779,0.113765825128533,0.00220025450762779,-0.0145688302028481,0.102744546940501,0.0117762015540056,0.050027100032149,-0.131075256872323,2018,2018 Q2,4,0,0,22616,10196,18324.6,55.6410508278489,10
53003,1,0,-0.105639220817697,0.0192671201553779,0.113765825128533,0.00220025450762779,-0.0145688302028481,0.102744546940501,0.0117762015540056,0.050027100032149,-0.131075256872323,2018,2018 Q3,3.8,0,0,22616,10196,18324.6,55.6410508278489,11
53003,1,0,-0.105639220817697,0.0192671201553779,0.113765825128533,0.00220025450762779,-0.0145688302028481,0.102744546940501,0.0117762015540056,0.050027100032149,-0.131075256872323,2018,2018 Q4,4.26666666666667,0,0,22616,10196,18324.6,55.6410508278489,12
53003,1,0,-0.105639220817697,0.0192671201553779,0.113765825128533,0.00220025450762779,-0.0145688302028481,0.102744546940501,0.0117762015540056,0.050027100032149,-0.131075256872323,2019,2019 Q1,5,1,0,22582,10339,18329.4,56.4066472443179,13
53003,1,0,-0.105639220817697,0.0192671201553779,0.113765825128533,0.00220025450762779,-0.0145688302028481,0.102744546940501,0.0117762015540056,0.050027100032149,-0.131075256872323,2019,2019 Q2,3.93333333333333,1,0,22582,10339,18329.4,56.4066472443179,14
53003,1,0,-0.105639220817697,0.0192671201553779,0.113765825128533,0.00220025450762779,-0.0145688302028481,0.102744546940501,0.0117762015540056,0.050027100032149,-0.131075256872323,2019,2019 Q3,3.83333333333333,1,0,22582,10339,18329.4,56.4066472443179,15
53003,1,0,-0.105639220817697,0.0192671201553779,0.113765825128533,0.00220025450762779,-0.0145688302028481,0.102744546940501,0.0117762015540056,0.050027100032149,-0.131075256872323,2019,2019 Q4,3.56666666666667,1,0,22582,10339,18329.4,56.4066472443179,16
53013,0,1,-0.0577718317419489,0.050673355954237,0.276758031813429,0.0240506092026156,-0.187376321220684,0.326237573673903,0.0152139669710651,0.0313396253139397,-0.131509994074609,2016,2016 Q1,7.16666666666667,0,1,3975,1720,3298,52.1528198908429,1
53013,0,1,-0.0577718317419489,0.050673355954237,0.276758031813429,0.0240506092026156,-0.187376321220684,0.326237573673903,0.0152139669710651,0.0313396253139397,-0.131509994074609,2016,2016 Q2,6.13333333333333,0,1,3975,1720,3298,52.1528198908429,2
53013,0,1,-0.0577718317419489,0.050673355954237,0.276758031813429,0.0240506092026156,-0.187376321220684,0.326237573673903,0.0152139669710651,0.0313396253139397,-0.131509994074609,2016,2016 Q3,5.8,0,1,3975,1720,3298,52.1528198908429,3
