"industry","FF_48","abnormal_returns_ev_avg","abnormal_returns_ev_avg1","abnormal_returns_ev_avg2","abnormal_returns_ev_avg3","abnormal_returns_ev_avg4","abnormal_returns_ev_avg5","abnormal_returns_ev_avg6","abnormal_returns_ev_avg7"
"Chips",37,-0.039145134894486,0.236782346888196,0.320306511880084,-0.186180520372517,-0.413297967017712,-0.0366236632573355,-0.178938870453632,-0.0160637819284862
"LabEq",38,-0.0868722803812355,-0.221908352464571,-0.0149969347090777,-0.212795176251634,-0.426480798428298,-0.0677373083796436,0.332319001303303,0.00349360626127236
"Paper",39,-0.12818500059654,-0.469703964772928,-0.598919475092505,0.0781535896545866,-0.435204045065838,-0.0777861638074233,0.323998486458819,0.282166568449507
"Boxes",40,-0.0253254082105556,-0.099519959120502,0.121455721130732,0.00469747346809155,-0.684037850034818,-0.117557186099433,-0.113545724019567,0.711229667201607
"Trans",41,0.0142859341789446,-0.14589316498902,-0.0776918440531638,0.0551678674032332,-0.225828487844947,-0.0428908898859198,0.555181076761791,-0.0180430181393616
"Whlsl",42,-0.00658656447370668,0.106158993114097,-0.213273739982689,0.194424619469288,0.306378697036816,0.00796942944365106,-0.267902711498573,-0.179861238898536
"Rtail",43,-0.0620811963300844,-0.0463948202864021,0.35118901317115,-0.327117907284181,0.223632711605997,-0.106808342381417,-0.107279572708663,-0.421789456427074
"Meals",44,-0.0881069881046253,-0.452622315429001,0.0672648387308824,0.147706636854427,0.0142866963163468,0.0525090477840775,-0.265421821546735,-0.180471999442375
"Banks",45,0.0647884473596557,0.176815694019745,-0.157857930073817,0.0976876047798053,0.0206297335050566,-0.120746933091623,0.284951363844191,0.152039598534232
"Insur",46,0.137993410945947,-0.0608190133731797,-0.0554694261629644,0.259368163925467,0.089925774988322,0.213004025540409,0.202864036027621,0.317080315675953
"RlEst",47,0.0391499434793197,0.657291160522768,0.328078996259894,-0.140949993722443,-0.0290477340278911,-0.00453726118963008,-0.167071636351185,-0.369713927136275
"Fin",48,0.00329586111087101,0.23149839475217,-0.0034673102876304,-0.0950133065737097,-0.205299426786142,-0.33730029500854,0.0993296430282835,0.333323328651666
"Other",49,0.0188170598362711,-0.225892158596289,-0.200457405054016,0.139782611906679,-0.372135299686647,-0.00779088839358814,0.340130147329402,0.458082411348357
